Portuguese,English,a gola alta,the turtleneck
Portuguese,English,uma pousada,an inn
Portuguese,English,calúnia,slander
Portuguese,English,avistar,catch sight of
Portuguese,English,um traço,a dash
Portuguese,English,trampo,trick
Portuguese,English,abafar,to drown out
Portuguese,English,pirarse,irse
Portuguese,English,uma artimanha,a trick
Portuguese,English,prestativo,helpful
Portuguese,English,goma,gummy
Portuguese,English,o gosto posterior,the aftertaste
Portuguese,English,desapontar,to disappoint
Portuguese,English,essa belezura,this beauty
Portuguese,English,entregar,to call out somone
Portuguese,English,vencido,overdue/stail
Portuguese,English,atropelar,to run over
Portuguese,English,charuto,cigar
Portuguese,English,franzir,to frown
Portuguese,English,colar/trapacear,to cheat (tests)
Portuguese,English,vai catar coquinho,bugger off
Portuguese,English,dar caibra,to cramp
Portuguese,English,presilhas,clips
Portuguese,English,panturrilhas,calves
Portuguese,English,meloso,sappy
Portuguese,English,vamos ser ricos pacas,we're going to be rich as hell
Portuguese,English,dias conturbados,troubling days
Portuguese,English,ter cartas nas mangas,to have tricks up your sleeves
Portuguese,English,uma travessa,a platter
Portuguese,English,assar,to bake
Portuguese,English,carrasco,executioner
Portuguese,English,desamparado,helpless
Portuguese,English,afobado,flustered
Portuguese,English,saguão,hall
Portuguese,English,esdrúxulo,odd
Portuguese,English,marmita,packed lunch
Portuguese,English,contornar,to go around
Portuguese,English,tirar onda,to show off
Portuguese,English,um pingado,a cup of coffee with milk
Portuguese,English,garanhão,stallion
Portuguese,English,orvalho,dew
Portuguese,English,moinho de vento,windmill
Portuguese,English,mercadoria,merchandise
Portuguese,English,íngreme,steep
Portuguese,English,indagar,to inquire
Portuguese,English,esculpir,to carve
Portuguese,English,salientar,to point out
Portuguese,English,uma barragem,a dam
Portuguese,English,embalar,to pack
Portuguese,English,escorregadio,slippery
Portuguese,English,acarretar,entail
Portuguese,English,desvairados,frantic
Portuguese,English,fantoche,puppet
Portuguese,English,despachar,to dispatch
Portuguese,English,ressarcir,to compensate
Portuguese,English,arquitetar,to figure out
Portuguese,English,constar,to keep in mind
Portuguese,English,patada,fuck up
Portuguese,English,repouso,resting
Portuguese,English,lazer,leisure
Portuguese,English,dizimar,to decimate
Portuguese,English,desabrochar,to unravel
Portuguese,English,crachá,badge
Portuguese,English,ninfetinha,nymph
Portuguese,English,a sacada,the balcony
Portuguese,English,brotar,to sprout
Portuguese,English,assoar,to blow
Portuguese,English,touca,beanie
Portuguese,English,capar,to castrate
Portuguese,English,alheios,unrelated
Portuguese,English,ficar fuçando,fooling around
Portuguese,English,subitamente,suddenly
Portuguese,English,anexar,attach
Portuguese,English,achatado,flat
Portuguese,English,sintonia,synched
Portuguese,English,dança do ventre,belly dance
Portuguese,English,amadurecer,to mature
Portuguese,English,optar,to opt
Portuguese,English,suspirar,sigh
Portuguese,English,um rastro,a trail
Portuguese,English,aparentar,to appear to be
Portuguese,English,efectuar,to perform
Portuguese,English,não se reprima,do not hold back
Portuguese,English,um colete,a vest
Portuguese,English,bordar,to embroider
Portuguese,English,rotular,to label
Portuguese,English,louvar,to praise
Portuguese,English,acrescentar,add
Portuguese,English,almejar,to crave
Portuguese,English,pavor,dread
Portuguese,English,vagaroso,slow
Portuguese,English,triturar,crush
Portuguese,English,jangada,raft
Portuguese,English,agredir,to attack
Portuguese,English,perdurar,to endure
Portuguese,English,estreita,narrow
Portuguese,English,fundir,to merge
Portuguese,English,prementes,pressing
Portuguese,English,alargar,to lengthen
Portuguese,English,erguer,lift
Portuguese,English,repousar,to rest
Portuguese,English,penoso,painful
Portuguese,English,arrefecer,cool
Portuguese,English,arenoso,sandy
Portuguese,English,em torno de,around
Portuguese,English,assemelhar,resemble
Portuguese,English,ansiar,to yearn
Portuguese,English,afobado,rushed
Portuguese,English,desfiar,unravel
Portuguese,English,encerramento,closure
Portuguese,English,emaranhar,to entangle
Portuguese,English,disfarçar,disguise
Portuguese,English,consolar,to comfort
Portuguese,English,correntes,chains
Portuguese,English,empenhar,to commit
Portuguese,English,infortúnio,misfortune
Portuguese,English,coentro,cilantro
Portuguese,English,critérios,standards
Portuguese,English,menosprezar,belittle
Portuguese,English,patifes,rascals
Portuguese,English,condenar,condemn
Portuguese,English,canalha,scoundrel
Portuguese,English,padre,priest
Portuguese,English,receitar,to prescribe
Portuguese,English,acudir,to aid
Portuguese,English,alegar,claim
Portuguese,English,escolta,escort
Portuguese,English,desenvoltura,Resourcefulness
Portuguese,English,ceder,Give way
Portuguese,English,ajeitar,To straighten
Portuguese,English,descolado,chill
Portuguese,English,restar,remain
Portuguese,English,resgate,rescue
Portuguese,English,vaidade,vanity
Portuguese,English,anormal,creep
Portuguese,English,Bestial,Cool
Portuguese,English,vestiários,changing rooms
Portuguese,English,aborrecido,Boring
Portuguese,English,pedinte,beggar
Portuguese,English,descontrair,To relax
Portuguese,English,uma tournée,A tour
Portuguese,English,beterraba,beet
Portuguese,English,enciumado,Jealous
Portuguese,English,assinalar,Point out
Portuguese,English,percurso,route
Portuguese,English,embriagado,drunk
Portuguese,English,farto,tired
Portuguese,English,arrecadar,To collect
Portuguese,English,revidar,hit back
Portuguese,English,Defumar,To smoke
Portuguese,English,especiaria,spice
Portuguese,English,indelicadeza,Indelicacy
Portuguese,English,assoalhadas,Rooms
Portuguese,English,apelar,appeal
Portuguese,English,minha companhia,my date
Portuguese,English,recolher,to recall
Portuguese,English,telefonema,phone call
Portuguese,English,acolher,To welcome
Portuguese,English,tenro,tender
Portuguese,English,desprezar,Despise
Portuguese,English,conceder,grant
Portuguese,English,chacoalhar,Shake
Portuguese,English,terno,suit
Portuguese,English,sino,bell
Portuguese,English,O traço,The trait
Portuguese,English,jumento,donkey
Portuguese,English,naufragar,to wreck
Portuguese,English,Tanajura,Big booty girl
Portuguese,English,internautas,Internet users
Portuguese,English,coladar,To tape
Portuguese,English,pirraçar,To piss off
Portuguese,English,o trapo,The rag
Portuguese,English,arranhar,scratch
Portuguese,English,arredar,move away
Portuguese,English,retribuir,To reciprocate
Portuguese,English,uma toupeira,A mole
Portuguese,English,ressuscitar,To resurrect
Portuguese,English,encoxar,To hump
Portuguese,English,Vou tacar o pinto,I'll stick the dick
Portuguese,English,não me apetece nada,I don't feel like it
Portuguese,English,fantil,Child
Portuguese,English,empregar,employ
Portuguese,English,medição,measurement
Portuguese,English,jorrar,To gush
Portuguese,English,decifrar,decipher
Portuguese,English,desempenho,Performance
Portuguese,English,macetes,Tricks
Portuguese,English,Mané,fool
Portuguese,English,palmo,Span
Portuguese,English,a magrela,The bike
Portuguese,English,baza,Get lost
Portuguese,English,um rolo,a trade
Portuguese,English,a caixa baixa,The runts
Portuguese,English,Eu caí matando,I made my move
Portuguese,English,arrengação,arguing or confusion
Portuguese,English,o braço direito,The right hand man
Portuguese,English,contenção,Restraint
Portuguese,English,trouxinhas,bundles
Portuguese,English,pacotinhos/papelotes,Packets
Portuguese,English,a endolação,The drug transfer
Portuguese,English,linha de montagem,Assembly line
Portuguese,English,no cafofo,To the top dogs
Portuguese,English,o movimento,the movement/turf
Portuguese,English,vingar,Avenge
Portuguese,English,a renda,the income
Portuguese,English,encruzilhada,Crossroads
Portuguese,English,ta por fora,is chickenshit
Portuguese,English,o corcel,The car
Portuguese,English,cordãozão,chain
Portuguese,English,Chinfrudos,Loaded
Portuguese,English,pra render uma mixaria,To make ends meat
Portuguese,English,encaracolado,curly
Portuguese,English,Quebrou um galhão pra mim,You bailed me out
Portuguese,English,a molecada,The boys
Portuguese,English,amador,amateur
Portuguese,English,um bagulho responsa,Some serious shit
Portuguese,English,maloqueiro,Petty thief
Portuguese,English,agradar,to please
Portuguese,English,Se tu tiver a fim mesmo,If you really want to
Portuguese,English,Tu vai ver qual é a onda,You'll see that it's far out
Portuguese,English,Cocota/Patricinha,Rich girl
Portuguese,English,condenado,condemned
Portuguese,English,a imprensa,the press
Portuguese,English,Barbantinho,Stringy
Portuguese,English,caguetar,To squeal
Portuguese,English,capar,To castrate
Portuguese,English,Meretriz do cão,Whoring bitch
Portuguese,English,Filha de uma égua,Slut
Portuguese,English,freguesa,Customer
Portuguese,English,vou do mesmo jeito,I'll go regardelss
Portuguese,English,benzinha,Baby
Portuguese,English,mandar uma letra,To smooth talk
Portuguese,English,Tu mete a foice,You shoot me down
Portuguese,English,é a maior furada,sucks
Portuguese,English,arrebentar,to beat
Portuguese,English,pra tomar conta de você,To keep an eye on you
Portuguese,English,sangrento,bloody
Portuguese,English,mortandade,Death
Portuguese,English,escuridão,darkness
Portuguese,English,a seta,the arrow
Portuguese,English,habitar,dwell
Portuguese,English,esconderijo,hiding place
Portuguese,English,entocar,To hide
Portuguese,English,passar o rodo,To exterminate
Portuguese,English,feche a viatura,Lock the car
Portuguese,English,uma birosca,A bar
Portuguese,English,despistar,To distract
Portuguese,English,pelancudo,Flabby
Portuguese,English,barrigudo,Big-bellied
Portuguese,English,coroa,Old
Portuguese,English,cortesia da casa,It's on the house
Portuguese,English,afoito,anxious
Portuguese,English,a escolta,The escort
Portuguese,English,enchentes,Floods
Portuguese,English,tu vai negar fogo,You're going to chicken out
